merchan_id;avg_amount_days;transaction_amount;is_declined;number_declines_days;foreign_transaction;high_risk_countries;daily_chbk_avg_amt;6m_avg_chbk_amt;6m_chbk_freq;is_fradulent
3160040998;100;3000;no;5;yes;yes;0;0;0;fraudulent
3160040998;100;4300;no;5;yes;yes;0;0;0;fraudulent
3160041896;185.5;4823;yes;5;no;no;0;0;0;fraudulent
3160141996;185.5;5008.5;yes;8;no;no;0;0;0;fraudulent
3160241992;500;26000;no;0;yes;yes;800;677.2;6;fraudulent
3160241992;500;27000;no;0;yes;yes;800;677.2;6;fraudulent
3160272997;262.5;11287.5;no;0;no;no;900;345.5;7;fraudulent
3162041996;185.5;11130;yes;20;no;no;0;0;0;fraudulent
3162041996;185.5;6121.5;yes;20;no;no;0;0;0;fraudulent
3162041996;185.5;7049;yes;20;no;no;0;0;0;fraudulent
3356298138;166.78847300000001;4836.8657169999897;no;0;no;no;721;229;9;fraudulent
3359162473;444.99701440000001;21804.853709999901;no;0;yes;yes;0;0;0;fraudulent
3359690891;152.45156499999899;4116.1922549999899;no;0;yes;yes;865;375;8;fraudulent
3364840542;36.9194876299999;2141.3302829999898;no;5;yes;yes;0;0;0;fraudulent
3365355395;806.17954259999897;23379.206740000001;no;0;no;no;816;811;5;fraudulent
3369900897;257.0911668;10283.64667;no;4;yes;no;0;0;0;fraudulent
3376306597;601.4529708;24659.571800000002;no;7;no;no;0;0;0;fraudulent
3386662126;222.52981510000001;12461.66965;no;9;yes;no;0;0;0;fraudulent
3388251889;231.06731780000001;12708.70248;no;0;no;no;986;650;8;fraudulent
3394638119;675.56947539999896;39858.599049999902;no;9;yes;no;0;0;0;fraudulent
3402333645;242.15174289999899;10654.67669;no;0;yes;yes;0;0;0;fraudulent
3405816400;804.76176610000005;42652.373599999897;no;0;no;no;953;950;8;fraudulent
3408183027;432.03025179999901;22033.5428399999;no;8;yes;yes;0;0;0;fraudulent
3413226850;356.81226320000002;16056.55184;no;9;yes;yes;0;0;0;fraudulent
3418090677;456.28311780000001;15057.34289;no;0;yes;yes;0;0;0;fraudulent
3450127241;780.68849799999896;36692.359409999903;no;0;yes;no;896;839;6;fraudulent
3462219091;947.48902759999896;44531.984299999902;no;7;yes;no;0;0;0;fraudulent
3465787492;172.5157672;5002.957249;no;9;yes;yes;0;0;0;fraudulent
3483626412;111.3750711;5680.1286259999897;no;2;yes;no;0;0;0;fraudulent
3498029973;679.94033460000003;38076.658739999897;no;0;yes;yes;0;0;0;fraudulent
3505845546;476.86458649999901;26704.416840000002;no;3;yes;no;0;0;0;fraudulent
3506126990;563.05454799999904;23085.23647;no;2;yes;no;0;0;0;fraudulent
3508979345;205.8614188;11528.239449999901;no;0;yes;no;0;0;0;fraudulent
3527533497;998.34407439999904;26955.290010000001;no;0;yes;yes;701;585;8;fraudulent
3541182255;724.06746989999897;43444.048190000001;no;0;no;no;877;814;7;fraudulent
3557460410;85.548223359999895;3165.2842639999899;no;0;no;no;454;230;7;fraudulent
3564918618;253.61746110000001;9891.0809829999907;no;2;yes;yes;0;0;0;fraudulent
3604409798;18.6679354199999;784.05328759999895;no;0;yes;no;973;469;8;fraudulent
3641844855;345.2290256;13118.70297;no;0;yes;no;970;758;3;fraudulent
3642050373;66.776553739999898;2804.6152569999899;no;5;no;no;993;954;2;fraudulent
3651341559;434.59730059999902;13472.516320000001;no;7;yes;yes;0;0;0;fraudulent
3657008341;53.187718689999897;2553.0104970000002;no;6;yes;no;0;0;0;fraudulent
3659140079;680.80500649999897;33359.445319999897;no;8;yes;no;0;0;0;fraudulent
3675535563;480.72170249999903;17305.98129;no;7;yes;yes;0;0;0;fraudulent
3687691773;644.28487159999895;19972.831020000001;no;0;no;no;967;226;9;fraudulent
3706361915;723.14153229999897;22417.387500000001;no;5;yes;no;0;0;0;fraudulent
3714090682;879.44637820000003;40454.5334;no;8;yes;no;0;0;0;fraudulent
3714419514;519.66878929999905;22345.75794;no;4;yes;no;0;0;0;fraudulent
3729024090;360.16750180000003;20169.3800999999;no;0;no;no;923;542;7;fraudulent
3742656867;199.19533720000001;11752.524890000001;no;7;yes;no;0;0;0;fraudulent
3752015916;741.77099209999903;37830.320599999897;no;0;no;no;589;499;8;fraudulent
3760238152;293.785663;14395.49749;no;0;yes;no;0;0;0;fraudulent
3764558156;464.28021819999901;21356.8900399999;no;5;yes;no;0;0;0;fraudulent
3774659995;48.438319319999898;2664.107563;no;8;yes;no;0;0;0;fraudulent
3776798621;885.28213319999895;53116.927989999902;no;9;yes;no;888;739;8;fraudulent
3785665909;532.24141829999905;15435.001130000001;no;6;yes;yes;0;0;0;fraudulent
3785986636;578.15206060000003;32376.51539;no;7;no;no;0;0;0;fraudulent
3799132406;780.32234029999904;39016.117019999903;no;5;yes;yes;0;0;0;fraudulent
3800617237;282.84438030000001;15556.440919999901;no;7;no;no;0;0;0;fraudulent
3806421625;464.14668169999902;15780.98718;no;0;yes;no;0;0;0;fraudulent
3808398633;411.7532238;22234.67409;no;0;no;no;618;497;7;fraudulent
3811662493;866.47864649999894;46789.84691;no;7;no;no;0;0;0;fraudulent
3816482428;616.44572800000003;15411.1432;no;4;yes;yes;381;284;5;fraudulent
3835542787;837.18910500000004;43533.833460000002;no;0;yes;yes;0;0;0;fraudulent
